trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
54,False,"{'a': 0.75, 'e': 0.018518518518518517}",25,13,22.336674937596396,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
55,False,"{'a': 0.75, 'e': 0.01818181818181818}",20,8,25.084107640307998,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.75, 'e': 0.017857142857142856}",30,14,28.575370852903745,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.75, 'e': 0.017543859649122806}",20,16,6.435869236869474,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
58,False,"{'a': 0.75, 'e': 0.017241379310344827}",30,20,7.796918743030352,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
59,False,"{'a': 0.75, 'e': 0.01694915254237288}",20,13,15.44011377720736,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
60,False,"{'a': 0.75, 'e': 0.016666666666666666}",25,17,15.730221997248018,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.75, 'e': 0.01639344262295082}",20,12,13.752125115617961,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.75, 'e': 0.016129032258064516}",25,12,26.811257299530656,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.75, 'e': 0.015873015873015872}",20,6,23.157432158651385,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.75, 'e': 0.015625}",30,8,38.810498094886846,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.75, 'e': 0.015384615384615385}",25,0,37.26812147958133,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
66,False,"{'a': 0.75, 'e': 0.015151515151515152}",25,14,21.735170956373658,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.75, 'e': 0.014925373134328358}",25,3,37.13526517669452,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.75, 'e': 0.014705882352941176}",20,12,15.965643139773533,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
